Price,Brand,Model,Power,Efficiency,Link
119.9,be quiet!,Straight Power 11,650,80+ Gold,https://amazon.com/dp/B07CX2MR8H?tag=pcbuilder00-20
99.9,be quiet!,Pure Power 11,700,80+ Gold,https://amazon.com/dp/B07PGRRZZS?tag=pcbuilder00-20
109.9,be quiet!,Pure Power 11,700,80+ Gold,https://amazon.com/dp/B07PK1XDX7?tag=pcbuilder00-20
114.9,be quiet!,BN672,750,80+ Gold,https://amazon.com/dp/B0948RJG1C?tag=pcbuilder00-20
129.99,be quiet!,Straight Power 11,750,80+ Gold,https://amazon.com/dp/B07CXGWTG3?tag=pcbuilder00-20
124.99,be quiet!,BN505,850,80+ Gold,https://amazon.com/dp/B0BVY62M5F?tag=pcbuilder00-20
129.9,be quiet!,BN675,850,80+ Gold,https://amazon.com/dp/B09V43FNX6?tag=pcbuilder00-20
146.99,be quiet!,BN330,850,80+ Gold,https://amazon.com/dp/B0BJVKQVCF?tag=pcbuilder00-20
196.15,be quiet!,Straight Power 11,850,80+ Gold,https://amazon.com/dp/B078X22YBR?tag=pcbuilder00-20
164.9,be quiet!,BN506,1000,80+ Gold,https://amazon.com/dp/B0BVYCXQY4?tag=pcbuilder00-20
257.57,be quiet!,Straight Power 11,1000,80+ Gold,https://amazon.com/dp/B078WZSN2W?tag=pcbuilder00-20
199.9,be quiet!,BN513,1200,80+ Gold,https://amazon.com/dp/B0CBP3C2S9?tag=pcbuilder00-20
119.9,be quiet!,BN640,550,80+ Platinum,https://amazon.com/dp/B085WVQD1Z?tag=pcbuilder00-20
132.08,be quiet!,Straight Power 11,650,80+ Platinum,https://amazon.com/dp/B085WW5WJH?tag=pcbuilder00-20
149.9,be quiet!,Straight Power 11,750,80+ Platinum,https://amazon.com/dp/B085ZBT81N?tag=pcbuilder00-20
169.9,be quiet!,BN514,750,80+ Platinum,https://amazon.com/dp/B0CC8H91K8?tag=pcbuilder00-20
173.27,be quiet!,Straight Power 11,850,80+ Platinum,https://amazon.com/dp/B085WVWQXP?tag=pcbuilder00-20
209.9,be quiet!,Straight Power 11,1000,80+ Platinum,https://amazon.com/dp/B085WW32T2?tag=pcbuilder00-20
249.9,be quiet!,Straight Power 11,1200,80+ Platinum,https://amazon.com/dp/B085WW7B74?tag=pcbuilder00-20
379.9,be quiet!,BN518,1500,80+ Platinum,https://amazon.com/dp/B0CC8JMDVH?tag=pcbuilder00-20
449,be quiet!,Dark Power Pro 12,1500,80+ Platinum,https://amazon.com/dp/B08HGVZXLP?tag=pcbuilder00-20
