Title,Price,Brand,Model,Link
Cryorig R1 Universal Dual Tower CPU Heatsink with XF140 and Xt140 Fans,92.41,Cryorig,R1 Universal,https://amazon.com/dp/B00IAPJVLG?tag=pcbuilder00-20
"Cooler Master MasterAir MA610P RGB CPU Air Cooler, 6 CDC 2.0 Heatpipes, Aluminum Fins, Push-Pull, Dual MF120R RGB Fans, RGB Lighting",92.99,Cooler Master,MasterAir MA610P,https://amazon.com/dp/B076KNKR73?tag=pcbuilder00-20
Corsair Hydro H100 x 240 mm Radiator Dual 120 mm PWM Fans Liquid CPU Cooler,93.58,Corsair,H100,https://amazon.com/dp/B07B68T46Q?tag=pcbuilder00-20
"Phanteks Slim Low-Profile Heatsinks, 120mm PWM CPU Cooling",94.26,Phanteks,PH-TC12LS,https://amazon.com/dp/B00QJI75AA?tag=pcbuilder00-20
be quiet! Pure Loop 240mm All-in-One Water Cooling System,94.9,be quiet!,BW006,https://amazon.com/dp/B08K3R64L5?tag=pcbuilder00-20
"EK 120mm AIO D-RGB All-in-One CPU Liquid Cooler with EK-Vardar High-Performance PMW Fans, Water Cooling Computer Parts, 120mm Fan",94.99,EK,EK-AIO-120,https://amazon.com/dp/B083BZPFXX?tag=pcbuilder00-20
Cooler Master Hyper 212X,95,Cooler Master,RR-212X-17PK-R1,https://amazon.com/dp/B01ARGVNV6?tag=pcbuilder00-20
Thermalright ARO-M14O for AMD Ryzen only,95.25,Thermalright,ARO-M14O,https://amazon.com/dp/B07C3N1D6J?tag=pcbuilder00-20
Thermalright AXP-100 (Designed for ITX and HTPC Systems.),95.6,Thermalright,AXP-100 Full Copper,https://amazon.com/dp/B07HFF29TK?tag=pcbuilder00-20
Noua Disturbia CPU Heatsink TDP 135W 4 Heat Tubes and 120mm PWM Fan Rainbow Car Compatible with 1200 / AM4,97,Noua,AC0619-DIS19,https://amazon.com/dp/B09FT5TYK5?tag=pcbuilder00-20
"ARCTIC Liquid Freezer II 240 - Multi Compatible All-in-One CPU AIO Water Cooler, Compatible with Intel & AMD, Efficient PWM Controlled Pump, Fan Speed: 200-1800 RPM, LGA1700 compatible - Black",97.97,ARCTIC,Liquid Freezer II,https://amazon.com/dp/B07WSDLRVP?tag=pcbuilder00-20
"Cooler Master Hyper 212 RGB Black Edition CPU Air Cooler, SF120R RGB Fan, 4 CD 2.0 Heatpipes, Anodized Gun-Metal Black, Brushed Nickel Fins, RGB Lighting",97.99,Cooler Master,Hyper 212 RGB,https://amazon.com/dp/B07H22TC1N?tag=pcbuilder00-20
Nofan CR-80EH,98.9,Nofan,2021-01FU-4-58879,https://amazon.com/dp/B00HW2O2L2?tag=pcbuilder00-20
