Price,Brand,Model,Cabinet Type,Link
47.84,Antec,NX100,ATX Mid Tower,https://amazon.com/dp/B07M7Y27VX?tag=pcbuilder00-20
49.98,DIYPC,J180,ATX Mid Tower,https://amazon.com/dp/B01JMLBQT6?tag=pcbuilder00-20
49.98,DIYPC,J180BL,ATX Mid Tower,https://amazon.com/dp/B01L7VB6TO?tag=pcbuilder00-20
49.99,NZXT,H510i,ATX Mid Tower,https://amazon.com/dp/B07TC73F72?tag=pcbuilder00-20
49.99,Cooler Master,Q300LV2-KGNN-S00,ATX Mid Tower,https://amazon.com/dp/B0CB8WGGNW?tag=pcbuilder00-20
50,ASUS,GT301 TUF GAMING CASE,ATX Mid Tower,https://amazon.com/dp/B088K5317Z?tag=pcbuilder00-20
50.86,COUGAR,MX331 MESH,ATX Mid Tower,https://amazon.com/dp/B08BX43M7T?tag=pcbuilder00-20
50.86,COUGAR,MX410 MESH,ATX Mid Tower,https://amazon.com/dp/B089N6G9Z2?tag=pcbuilder00-20
50.99,AeroCool,Bolt-G,ATX Mid Tower,https://amazon.com/dp/B07SW2285W?tag=pcbuilder00-20
51.65,SAMA (Case & Power Supply),Sama-S88-BK,ATX Mid Tower,https://amazon.com/dp/B09X58MW2R?tag=pcbuilder00-20
52,COUGAR,MX330-X,ATX Mid Tower,https://amazon.com/dp/B074LRNC44?tag=pcbuilder00-20
52,COUGAR,MX331,ATX Mid Tower,https://amazon.com/dp/B08BWRSC91?tag=pcbuilder00-20
52.2,MSI,306-7G07R25-809,ATX Mid Tower,https://amazon.com/dp/B08KHK67RP?tag=pcbuilder00-20
53.3,Zalman,S5 White,ATX Mid Tower,https://amazon.com/dp/B084JM9VMB?tag=pcbuilder00-20
54.99,AeroCool,Cylon RGB,ATX Mid Tower,https://amazon.com/dp/B079P1VBDY?tag=pcbuilder00-20
54.99,Thermaltake,Versa H21,ATX Mid Tower,https://amazon.com/dp/B00J0NZ3Q4?tag=pcbuilder00-20
54.99,Zalman,S2,ATX Mid Tower,https://amazon.com/dp/B07P23M99T?tag=pcbuilder00-20
54.99,Zalman,S3,ATX Mid Tower,https://amazon.com/dp/B07NZYJ9ZJ?tag=pcbuilder00-20
54.99,Zalman,T6,ATX Mid Tower,https://amazon.com/dp/B07R2JBTDR?tag=pcbuilder00-20
55,COUGAR,MX330,ATX Mid Tower,https://amazon.com/dp/B074RC5BWV?tag=pcbuilder00-20
55.85,Rosewill,NAUTILUS,ATX Mid Tower,https://amazon.com/dp/B01IT0TDY6?tag=pcbuilder00-20
56.11,Cooler Master,MasterBox Q500L,ATX Mid Tower,https://amazon.com/dp/B07Q8VJ17J?tag=pcbuilder00-20
57,COUGAR,DarkBlader X5,ATX Mid Tower,https://amazon.com/dp/B08J6WSXSM?tag=pcbuilder00-20
57.07,Fractal Design,Silent ll,ATX Mid Tower,https://amazon.com/dp/B074PTN1KR?tag=pcbuilder00-20
57.94,Fractal Design,Focus G,ATX Mid Tower,https://amazon.com/dp/B074PTNZ7F?tag=pcbuilder00-20
59.33,DEEP COOL,MATREXX 50,ATX Mid Tower,https://amazon.com/dp/B07WNKT6J4?tag=pcbuilder00-20
59.9,COUGAR,MX331,ATX Mid Tower,https://amazon.com/dp/B08BX3KRXJ?tag=pcbuilder00-20
59.9,BITFENIX,NOVA MESH SE TG,ATX Mid Tower,https://amazon.com/dp/B09SHKYT37?tag=pcbuilder00-20
59.99,NZXT,H510B,ATX Mid Tower,https://amazon.com/dp/B07TC73F6Y?tag=pcbuilder00-20
59.99,Zalman,S2,ATX Mid Tower,https://amazon.com/dp/B08FP4HV3T?tag=pcbuilder00-20
59.99,Montech,AIR 903 BASE (B),ATX Mid Tower,https://amazon.com/dp/B0C98RFQXJ?tag=pcbuilder00-20
59.99,Montech,AIR 903 BASE (W),ATX Mid Tower,https://amazon.com/dp/B0C98TR925?tag=pcbuilder00-20
59.99,AZZA,CSAZ-340F CELESTA,ATX Mid Tower,https://amazon.com/dp/B08HGYCC7R?tag=pcbuilder00-20
59.99,AZZA,CSAZ-280B SPECTRA BLACK,ATX Mid Tower,https://amazon.com/dp/B0B1PMLP55?tag=pcbuilder00-20
62,Fractal Design,Focus G,ATX Mid Tower,https://amazon.com/dp/B071SHFRTP?tag=pcbuilder00-20
62,Fractal Design,Focus G,ATX Mid Tower,https://amazon.com/dp/B071G4KDKG?tag=pcbuilder00-20
62,Rosewill,CHALLENGER,ATX Mid Tower,https://amazon.com/dp/B003YVJJ5Y?tag=pcbuilder00-20
62,Fractal Design,Focus G,ATX Mid Tower,https://amazon.com/dp/B074PTQHJH?tag=pcbuilder00-20
62.65,Cooler Master,CP510-KGNN-S00,ATX Mid Tower,https://amazon.com/dp/B09F3XHNZ1?tag=pcbuilder00-20
63,COUGAR,MX330,ATX Mid Tower,https://amazon.com/dp/B079X2P3TR?tag=pcbuilder00-20
64.99,Apevia,Enzo,ATX Mid Tower,https://amazon.com/dp/B08GVXJ2RQ?tag=pcbuilder00-20
64.99,Apevia,ENZO-BK,ATX Mid Tower,https://amazon.com/dp/B08GVPJRDP?tag=pcbuilder00-20
64.99,Gigabyte,C200G,ATX Mid Tower,https://amazon.com/dp/B07R89QZXM?tag=pcbuilder00-20
64.99,SilverStone Technology,FAR1W,ATX Mid Tower,https://amazon.com/dp/B084L2R5NZ?tag=pcbuilder00-20
64.99,AZZA,CSAZ-280W SPECTRA WHITE,ATX Mid Tower,https://amazon.com/dp/B0B1PC753M?tag=pcbuilder00-20
64.99,SAMA,SAMA-Z4,ATX Mid Tower,https://amazon.com/dp/B09ZP1Y6YV?tag=pcbuilder00-20
65,Enermax,ECA-LL30-M1BB-ARGB,ATX Mid Tower,https://amazon.com/dp/B087N8NMJK?tag=pcbuilder00-20
67,Thermaltake,Versa N24,ATX Mid Tower,https://amazon.com/dp/B01FG9XS5I?tag=pcbuilder00-20
67.97,Thermaltake,Versa H22,ATX Mid Tower,https://amazon.com/dp/B00J0NZ5N0?tag=pcbuilder00-20
67.99,Cooler Master,MasterBox B600L,ATX Mid Tower,https://amazon.com/dp/B076BXJ76J?tag=pcbuilder00-20
68,AeroCool,PB0724381,ATX Mid Tower,https://amazon.com/dp/B07STYG2FN?tag=pcbuilder00-20
68.16,Rosewill,R0901001-0118,ATX Mid Tower,https://amazon.com/dp/B08KZCQRGN?tag=pcbuilder00-20
68.2,Corsair,110R,ATX Mid Tower,https://amazon.com/dp/B07VMB5YRM?tag=pcbuilder00-20
