Title,Price,Brand,Model,Power,Efficiency,Link
"Silverstone Strider Titanium 1500W 80 Plus Titanium ATX PC Power Supply, Low Noise 135mm, 100% Modular",/A,SilverStone Technology,ST1500 Ti,1500 W,80+ Titanium,https://amazon.com/dp/B0749V34D6?tag=pcbuilder00-20
"Phanteks (PH-P850PSF_02) Revolt SFX 850W 80PLUS Platinum, Super Compact SFX Form Factor",199.99,Phanteks,PH-P850PSF_02,850 W,80+ Platinum,https://amazon.com/dp/B0BVNY4LKY?tag=pcbuilder00-20
DeepCool PM850D 80+ Gold Power Supply,90.14,DeepCool,R-PM850D-FA0B-US,850 W,80+ Gold,https://amazon.com/dp/B09Y5LRPKZ?tag=pcbuilder00-20
Athena Power AP-MTFX30 300W TFX Form Factor Power Supply,38.99,Athena Power,NA,300 W,,https://amazon.com/dp/B00634R3I4?tag=pcbuilder00-20
Cooler Master V1300 Platinum - Full-Modular 80 Plus Platinum Certified Power Supply,Used),Cooler Master,MPZ-D001-AFBAPV-US,1300 W,80+ Platinum,https://amazon.com/dp/B07NQT1FBT?tag=pcbuilder00-20
"be quiet! Pure Power 11 FM 850W, 80 Plus Gold Efficiency, Power Supply, ATX - BN675",129.90,be quiet!,BN675,850 W,80+ Gold,https://amazon.com/dp/B09V43FNX6?tag=pcbuilder00-20
MPG A850G PCIE 5 Gaming Power Supply - Full Modular - 80 Plus Gold Certified 1000W - 100% Japanese 105°C Capacitors - Compact Size - ATX PSU,159.99,MSI,MPGA850GPCIE5,850 W,80+ Gold,https://amazon.com/dp/B0B4345YV7?tag=pcbuilder00-20
"ASUS ROG Loki SFX-L 750W Platinum (Fully Modular Power Supply, 80+ Platinum",289.35,ASUS,90YE00N4-B0NA00,750 W,80+ Platinum,https://amazon.com/dp/B0BHJB4VG7?tag=pcbuilder00-20
"Super Flower Leadex III Bronze PRO 650W 80+ Bronze, ECO Fanless & Silent Mode, Full Modular Power Supply, Fluid Dynamic Bearing Fan",99.99,SUPER FLOWER,Leadex III Super Pro,650 W,80+ Bronze,https://amazon.com/dp/B08H1N6SGX?tag=pcbuilder00-20
Seasonic Power Supply SS-600ES 600W ATX12V (v2.2) 8cm 80PLUS BRONZE Retail,99.81,Seasonic,SS-600ES,600 W,80+ Bronze,https://amazon.com/dp/B0065SHMYI?tag=pcbuilder00-20
SilverStone Technology FX600 Platinum Cybenetics Platinum 600W FlexATX Power Supply (SST-FX600-PT),172.99,SilverStone Technology,FX600 Platinum,600 W,,https://amazon.com/dp/B09SKRQ6KC?tag=pcbuilder00-20
Antec EA-500D Earthwatts 500W 20+4Pin 4-Pin 2x PCIe 80 PLUS PFC ATX Power Supply,78.01 (Used),Antec,EA-500D,500 W,80+,https://amazon.com/dp/B0084EQRKG?tag=pcbuilder00-20
SPI FSP350-60GNV 350W SFX 20+4PIN 8CM BB Fan APFC Auto Ranging Rohs Power Supply,59.99,Sparkle,FSP350-60GNV,350 W,80+,https://amazon.com/dp/B0015TS7A0?tag=pcbuilder00-20
FSP Mini ITX/Flex ATX 80+ Bronze 24-Pin 300W Power Supply (FSP300-60LG),148.02,FSP,FSP300-60LG,300 W,80+ Bronze,https://amazon.com/dp/B0085JFL8E?tag=pcbuilder00-20
MasterWatt Maker 1200 MIJ Computer Power Supply Made in Japan with 94% Titanium Efficiency,583.91,Cooler Master,MPZ-C002-AFBAT-US,1200 W,80+ Titanium,https://amazon.com/dp/B01MRCUCLP?tag=pcbuilder00-20
Seasonic Electronics Vertex GX-1200 1200W 80 Plus Gold ATX Fully Modular Power Supply,295,Seasonic,Vertex GX-1200,1200 W,80+ Gold,https://amazon.com/dp/B0BVP4GM9S?tag=pcbuilder00-20
MEG Ai1000P PCIE 5 & ATX 3.0 Gaming Power Supply - Full Modular - 80 Plus Platinum Certified 1000W,279.38,MSI,MEGAI1000PPCIE5,1000 W,80+ Platinum,https://amazon.com/dp/B0B433KXLJ?tag=pcbuilder00-20
"Phanteks (PH-P1000G_02) AMP 1000W V2 80PLUS Gold, ATX Power Supply, 12VHPWR Included",169.99,Phanteks,PH-P1000G_02,1000 W,80+ Gold,https://amazon.com/dp/B0BWPL4N3Q?tag=pcbuilder00-20
