Title,Price,Brand,Model,Cores,Threads,Socket Type,Base Speed,Turbo Speed,Integrated Graphics,Memory Type,Link
Intel Core i7-11700F Desktop Processor 8 Cores up to 4.9 GHz LGA1200 (Intel 500 Series & Select 400 Series Chipset) 65W,248.99,Intel,Core i7-11700F,8,16,LGA 1200,2.5 GHz,4.9 GHz,,,https://amazon.com/dp/B08X6V4WTF?tag=pcbuilder00-20
Intel Core i7-11700 Desktop Processor 8 Cores up to 4.9 GHz LGA1200 (Intel 500 Series & Select 400 Series Chipset) 65W,299.65,Intel,Core i7-11700,8,16,LGA 1200,2.5 GHz,4.9 GHz,,,https://amazon.com/dp/B08X6QHYDL?tag=pcbuilder00-20
Intel Core i9-10900F Desktop Processor 10 Cores up to 5.2 GHz Without Processor Graphics LGA 1200 (Intel 400 Series chipset) 65W,429.99,Intel,Core i9-10900F,10,20,LGA 1200,2.80 GHz,5.20 GHz,,,https://amazon.com/dp/B086MHTK5C?tag=pcbuilder00-20
Intel Core i9-10900 Desktop Processor 10 Cores up to 5.2 GHz LGA 1200 (Intel 400 Series Chipset) 65W,399.99,Intel,Core i9-10900,10,20,LGA 1200,2.80 GHz,5.20 GHz,,,https://amazon.com/dp/B086ML4XSD?tag=pcbuilder00-20
"Intel Core i9-9820X, 10 Cores & 20 Threads Turbo Unlocked X-Series Processor",550,Intel,Core i9-9820X,10,20,LGA 2066,3.3 GHz,4.2 GHz,,,https://amazon.com/dp/B07KCCH7JL?tag=pcbuilder00-20
Intel Core i5 (12th Gen) i5-12500 3 GHz Processor,248,Intel,Core i5-12500,6,12,LGA 1700,3.0 GHz,4.6 GHz,,,https://amazon.com/dp/B09MSJ29RP?tag=pcbuilder00-20
Intel Core i5-11600KF Desktop Processor 6 Cores up to 4.9 GHz Unlocked LGA1200 (Intel 500 Series & Select 400 Series Chipset) 125W,198.01,Intel,Core i5-11600KF,6,12,LGA 1200,3.9 GHz,4.9 GHz,,,https://amazon.com/dp/B08X62BTJD?tag=pcbuilder00-20
Intel Core i5-11600K Desktop Processor 6 Cores up to 4.9 GHz Unlocked LGA1200 (Intel 500 Series & Select 400 Series Chipset) 125W,264.99,Intel,Core i5-11600K,6,12,LGA 1200,3.9 GHz,4.9 GHz,,,https://amazon.com/dp/B08X67YZBL?tag=pcbuilder00-20
"Intel Core i5 Core 12400F Desktop Processor 18M Cache, up to 4.40 GHz",174.44,Intel,Core i5-12400F,6,12,LGA 1700,2.5 GHz,4.4 GHz,,,https://amazon.com/dp/B09NPJRDGD?tag=pcbuilder00-20
"Intel Core i7-10700K, 8 Cores & 16 Threads Unlocked Desktop Processor with Intel UHD Graphics 630",293.99,Intel,Core i7-10700K,8,16,LGA 1200,3.8 GHz,5.1 GHz,,,https://amazon.com/dp/B086ML4XSB?tag=pcbuilder00-20
"Intel Core i5-12400 Desktop Processor 18M Cache, up to 4.40 GHz",183.58,Intel,Core i5-12400,6,12,LGA 1700,2.5 GHz,4.4 GHz,,,https://amazon.com/dp/B09NMPD8V2?tag=pcbuilder00-20
"Intel Core i9-9900KS, 8 Cores & 16 Threads Turbo Unlocked Desktop Processor with Intel UHD Graphics 630","1,989",Intel,Core i9-9900KS,8,16,LGA 1151,4.0 GHz,5.0 GHz,,,https://amazon.com/dp/B07YP3J7ZM?tag=pcbuilder00-20
"Intel Core i7-10700KF, 8 Cores & 16 Threads Unlocked Desktop Processor without Processor Graphics",336.47,Intel,Core i7-10700KF,8,16,LGA 1200,3.8 GHz,5.1 GHz,,,https://amazon.com/dp/B0883NG13L?tag=pcbuilder00-20
"AMD Ryzen 5 3600XT, 6Core & 12 Threads Unlocked Desktop Processor with Wraith Spire Cooler",365.95,AMD,Ryzen 5 3600XT,6,12,AM4,3.8 GHz,4.5 GHz,,,https://amazon.com/dp/B089WC4VWF?tag=pcbuilder00-20
"Intel Core i9-9900K, Unlocked Desktop Processor with 8 Cores & 16 Threads",436.99,Intel,Core i9-9900K,8,16,LGA 1151,3.6 GHz,5.0 GHz,,,https://amazon.com/dp/B005404P9I?tag=pcbuilder00-20
"Intel Core i9-9900KF, 8 Cores & 16 Threads Unlocked Processor without Processor Graphics",314.99,Intel,Core i9-9900KF,8,16,LGA 1151,3.6 GHz,5.0 GHz,,,https://amazon.com/dp/B07MGBZWDZ?tag=pcbuilder00-20
Intel Core i5-11600 Desktop Processor 6 Cores up to 4.8 GHz LGA1200 (Intel 500 Series & Select 400 Series Chipset) 65W,269.47,Intel,Core i5-11600,6,12,LGA 1200,2.8 GHz,4.8 GHz,,,https://amazon.com/dp/B08X5XWNTB?tag=pcbuilder00-20
"AMD Ryzen 5 3600X 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Spire Cooler",184.44,AMD,Ryzen 5 3600X,6,12,AM4,3.8 GHz,4.4 GHz,,,https://amazon.com/dp/B07SQBFN2D?tag=pcbuilder00-20
"Intel Core i7-9800X, 8 Cores & 16 Threads Turbo Unlocked X-Series Processor",625,Intel,Core i7-9800X,8,16,LGA 2066,3.8 GHz,4.5 GHz,,,https://amazon.com/dp/B07JGCSMJX?tag=pcbuilder00-20
Intel Core i5-11400F Desktop Processor 6 Cores up to 4.4 GHz LGA1200 (Intel 500 Series & Select 400 Series Chipset) 65W,135.99,Intel,Core i5-11400F,6,12,LGA 1200,2.6 GHz,4.4 GHz,,,https://amazon.com/dp/B08X6SZ184?tag=pcbuilder00-20
"AMD Ryzen 5 3600, 6-Cores and 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",94.99,AMD,Ryzen 5 3600,6,12,AM4,3.6 GHz,4.2 GHz,,,https://amazon.com/dp/B07STGGQ18?tag=pcbuilder00-20
Intel Core i5-11400 Desktop Processor 6 Cores up to 4.4 GHz LGA1200 (Intel 500 Series & Select 400 Series Chipset) 65W,169.27,Intel,Core i5-11400,6,12,LGA 1200,2.6 GHz,4.4 GHz,,,https://amazon.com/dp/B08X6JPK4K?tag=pcbuilder00-20
