Title,Price,Brand,Model,chipset,Form factor,Socket type,Memory slots,max_memory_support,Link
GIGABYTE Z690 Gaming X DDR4 (LGA 1700/ Intel Z690/ ATX/ DDR4/ Quad M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/ 2.5GbE LAN/Gaming Motherboard),209.99,Gigabyte,Z690 GAMING X DDR4,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09J5TC4F8?tag=pcbuilder00-20
GIGABYTE Z690 AORUS Elite AX DDR4 (LGA 1700/ Intel Z690/ ATX/ DDR4/ Quad M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/WiFi 6/2.5GbE LAN/Gaming Motherboard),245.30,Gigabyte,Z690 AORUS ELITE AX DDR4,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09J6BWK2Z?tag=pcbuilder00-20
GIGABYTE Z690 AORUS PRO (LGA 1700/ Intel Z690/ ATX/ DDR5/ Quad M.2/ PCIe 5.0/ USB 3.2 Gen2X2 Type-C/WiFi 6/2.5GbE LAN/Gaming Motherboard),437.78,Gigabyte,Z690 AORUS PRO,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09J5Z48MP?tag=pcbuilder00-20
"MSI PRO Z690-A DDR4 ProSeries Motherboard (ATX, 12th Gen Intel Core, LGA 1700 Socket, DDR4, PCIe 4, CFX, M.2 Slots)",159.99,MSI,Z690-A DDR4,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09GLD6LYW?tag=pcbuilder00-20
"MSI PRO Z690-A WiFi DDR4 ProSeries Motherboard (ATX, 12th Gen Intel Core, LGA 1700 Socket, DDR4, PCIe 4, CFX, M.2 Slots, Wi-Fi 6E)",219.99,MSI,PRO Z690-A WIFI DDR4,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09GLC1SS4?tag=pcbuilder00-20
"MSI MAG Z690 Tomahawk WiFi DDR4 Gaming Motherboard (ATX, 12th Gen Intel Core, LGA 1700 Socket, DDR4, PCIe 4, CFX, M.2 Slots, Wi-Fi 6E)",247,MSI,MAG Z690 TOMAHAWK WIFI DDR4,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09GLD72QH?tag=pcbuilder00-20
"MSI MPG Z690 Edge WiFi DDR4 Gaming Motherboard (ATX, 12th Gen Intel Core, LGA 1700 Socket, DDR4, PCIe 4, CFX, M.2 Slots, Wi-Fi 6E)",293,MSI,MPG Z690 Edge WiFi,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09GLCGV9K?tag=pcbuilder00-20
"ASUS ROG Strix Z690-E Gaming WiFi 6E LGA 1700(Intel 12th Gen)ATX gaming motherboard(PCIe 5.0,DDR5,2.5 Gb LAN,Thunderbolt 4,5xM.2,1xPCIe 5.0 M.2,ROG Hyper M.2 Card,Front panel USB 3.2 Gen 2x2 Type-C)",399.99,ASUS,ROG STRIX Z690-E GAMING WIFI,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09JS5DHSX?tag=pcbuilder00-20
"ASUS TUF Gaming Z690-Plus WiFi D4 LGA1700(Intel 12th Gen) ATX gaming motherboard(PCIe 5.0, DDR4,4xM.2/NVMe SSD,14+2 power stages,WiFi 6,2.5Gb LAN,front USB 3.2 Gen 2 Type-C,Thunderbolt 4,ARGB headers)",229,ASUS,TUF GAMING Z690-PLUS WIFI D4,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09J1S2LDS?tag=pcbuilder00-20
"ASUS ProArt Z690-Creator WiFi 6E LGA 1700 ATX Content Creator Motherboard (2XThunderbolt4, Front Panel USB 3.2 Gen2x2 Type-C Ports)",657.99,ASUS,PROARTZ690-CREATORWI,Intel Z690,ATX,LGA 1700,,,https://amazon.com/dp/B09K92GRQF?tag=pcbuilder00-20
