Title,Price,Brand,Model,Ram size,Quantity,Ram type,Ram speed,DIMM_type,CAS latency,Link
CORSAIR VENGEANCE DDR5 RAM 32GB (2x16GB) 6600MHz CL38 Intel XMP iCUE Compatible Computer Memory - Black (CMK32GX5M2B6600C38),109.99,Corsair,CMK32GX5M2B6600C38,32 GB,2 x 16 GB,DDR5,6600 MHz,288-PIN,CL38,https://amazon.com/dp/B0CBRHX1KT?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 6600MT/s CL34-40-40-105 1.40V Desktop Computer Memory UDIMM - Matte Black (F5-6600J3440G16GA2-TZ5RK),119.99,G.Skill,F5-6600J3440G16GA2-TZ5RK,32 GB,2 x 16 GB,DDR5,6600 MHz,288-PIN,CL34,https://amazon.com/dp/B09Z1SRR22?tag=pcbuilder00-20
G.SKILL Trident Z5 RGB Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 6600MT/s CL34-40-40-105 1.40V Desktop Computer Memory UDIMM - Metallic Silver (F5-6600J3440G16GA2-TZ5RS),119.99,G.Skill,F5-6600J3440G16GA2-TZ5RS,32 GB,2 x 16 GB,DDR5,6600 MHz,288-PIN,CL34,https://amazon.com/dp/B09Z24G721?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 96GB (2x48GB) 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMH96GX5M2B6600C32),379.99,Corsair,CMH96GX5M2B6600C32,96 GB,2 x 48 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0CCXSRN1Y?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 64GB (2x32GB) 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMH64GX5M2B6600C32),240,Corsair,CMH64GX5M2B6600C32,64 GB,2 x 32 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0C1RG29C4?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 64GB (4x16GB) 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMH64GX5M4B6600C32),309.99,Corsair,CMH64GX5M4B6600C32,64 GB,4 x 16 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0BVKY73YS?tag=pcbuilder00-20
D532GB 6600-34 Trident Z5 RGB bk K2 GSK | F5-6600J3440G16GX2-TZ5RK,142.95,G.Skill,F5-6600J3440G16GX2-TZ5RK,32 GB,2 x 16 GB,DDR5,6600 MHz,288-PIN,CL34,https://amazon.com/dp/B0B2X4J41T?tag=pcbuilder00-20
CORSAIR Dominator Titanium RGB DDR5 RAM 64GB (2x32GB) DDR5 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory,324.99,Corsair,CMP64GX5M2X6600C32W,64 GB,2 x 32 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0CHSFVHGW?tag=pcbuilder00-20
CORSAIR Dominator Titanium RGB DDR5 RAM 64GB (2x32GB) DDR5 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory,324.99,Corsair,CMP64GX5M2X6600C32,64 GB,2 x 32 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0CHSJGCJ2?tag=pcbuilder00-20
CORSAIR Dominator Titanium RGB DDR5 RAM 96GB (2x48GB) DDR5 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory,454.99,Corsair,CMP96GX5M2B6600C32,96 GB,2 x 48 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0CHSDT7MC?tag=pcbuilder00-20
CORSAIR Dominator Titanium RGB DDR5 RAM 96GB (2x48GB) DDR5 6600MHz CL32 Intel XMP iCUE Compatible Computer Memory - White (CMP96GX5M2B6600C32W),454.99,Corsair,CMP96GX5M2B6600C32W,96 GB,2 x 48 GB,DDR5,6600 MHz,288-PIN,CL32,https://amazon.com/dp/B0CHSBW8FV?tag=pcbuilder00-20
XPG Lancer RGB DDR5 6400MHz 64GB (2x32GB) CL32 UDIMM 288-Pins Desktop SDRAM DDR5 Dual Channel RAM Kit White Heatsink (AX5U6400C3232G-DCLARWH),369,XPG,AX5U6400C3232G-DCLARWH,64 GB,2 x 32 GB,DDR5,6400 MHz,288-PIN,CL32,https://amazon.com/dp/B0C6HXL6JC?tag=pcbuilder00-20
XPG Lancer RGB DDR5 6400MHz 32GB (2x16GB) CL32 UDIMM 288-Pins Desktop SDRAM DDR5 Dual Channel RAM Kit White Heatsink (AX5U6400C3216G-DCLARWH),129.99,XPG,AX5U6400C3216G-DCLARWH,32 GB,2 x 16 GB,DDR5,6400 MHz,288-PIN,CL32,https://amazon.com/dp/B0BSVSS5QP?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 32GB (2x16GB) 6400MHz CL36 Intel XMP iCUE Compatible Computer Memory - White (CMH32GX5M2B6400C36W),124.99,Corsair,CMH32GX5M2B6400C36W,32 GB,2 x 16 GB,DDR5,6400 MHz,288-PIN,CL36,https://amazon.com/dp/B0C4Y3DCL4?tag=pcbuilder00-20
XPG Lancer DDR5 RGB 6400MHz 32GB (2x16GB) CL32-39-39 UDIMM 288-Pins Desktop SDRAM DDR5 Dual Channel RAM Kit Black Heatsink (AX5U6400C3216G-DCLARBK),129.99,XPG,AX5U6400C3216G-DCLARBK,32 GB,2 x 16 GB,DDR5,6400 MHz,288-PIN,CL32,https://amazon.com/dp/B0BSVRQQ26?tag=pcbuilder00-20
TEAMGROUP T-Create Expert Overclocking 10L DDR5 32GB Kit (2 x 16GB) 6400MHz (PC5-51200) CL32 Desktop Memory Module Ram White - CTCWD532G6400HC32ADC01,99.99,TEAMGROUP,CTCWD532G6400HC32ADC01,32 GB,2 x 16 GB,DDR5,6400 MHz,288-PIN,CL32,https://amazon.com/dp/B0C658ZMY8?tag=pcbuilder00-20
TEAMGROUP T-Create Expert Overclocking 10L DDR5 64GB Kit (2 x 32GB) 6400MHz (PC5-51200) CL34 Desktop Memory Module Ram - CTCED564G6400HC34BDC01,189.99,TEAMGROUP,CTCED564G6400HC34BDC01,64 GB,2 x 32 GB,DDR5,6400 MHz,288-PIN,CL34,https://amazon.com/dp/B0BPHSVVS5?tag=pcbuilder00-20
TEAMGROUP T-Create Expert Overclocking 10L DDR5 32GB Kit (2 x 16GB) 6400MHz (PC5-51200) CL32 Desktop Memory Module Ram Black - CTCED532G6400HC32ADC01,99.99,TEAMGROUP,CTCED532G6400HC32ADC01,32 GB,2 x 16 GB,DDR5,6400 MHz,288-PIN,CL32,https://amazon.com/dp/B0C657LC81?tag=pcbuilder00-20
Patriot Viper Venom DDR5 32GB (2 x 16GB) 6400MHz UDIMM Desktop Gaming Memory KIT - PVV532G640C32K,149.09,Patriot Memory,PVV532G640C32K,32 GB,2 x 16 GB,DDR5,6400 MHz,288-PIN,CL32,https://amazon.com/dp/B0BT2546S9?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 64GB (2x32GB) 6400MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMH64GX5M2B6400C32),219.99,Corsair,CMH64GX5M2B6400C32,64 GB,2 x 32 GB,DDR5,6400 MHz,288-PIN,CL32,https://amazon.com/dp/B0C1RGLVZ8?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 32GB (2x16GB) 6400MHz CL36 Intel XMP iCUE Compatible Computer Memory - Black (CMH32GX5M2B6400C36),109.99,Corsair,CMH32GX5M2B6400C36,32 GB,2 x 16 GB,DDR5,6400 MHz,288-PIN,CL36,https://amazon.com/dp/B0BXHC74WD?tag=pcbuilder00-20
CORSAIR DOMINATOR PLATINUM RGB DDR5 RAM 32GB (2x16GB) 6400MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMT32GX5M2B6400C32),149.99,Corsair,CMT32GX5M2B6400C32,32 GB,2 x 16 GB,DDR5,6400 MHz,288-PIN,CL32,https://amazon.com/dp/B0BPLCCR1J?tag=pcbuilder00-20
CORSAIR VENGEANCE RGB DDR5 RAM 32GB (2x16GB) 6400MHz CL32 Intel XMP iCUE Compatible Computer Memory,144.99,Corsair,CMH32GX5M2B6400C32W,32 GB,2 x 16 GB,DDR5,6400 MHz,288-PIN,CL32,https://amazon.com/dp/B0CBRK1HQG?tag=pcbuilder00-20
G.Skill Trident Z5 RGB Series 32GB 2 x 16GB 288-Pin SDRAM DDR5 6400 CL32-39-39-102 1.40V Dual Channel Desktop Memory,219.99,G.Skill,Trident Z5 RGB,32 GB,2 x 16 GB,DDR5,6400 MHz,288-Pin,CL32,https://amazon.com/dp/B09QS2K59B?tag=pcbuilder00-20
G.SKILL Trident Z5 Series (Intel XMP 3.0) DDR5 RAM 32GB (2x16GB) 6400MT/s CL32-39-39-102 1.40V Desktop Computer Memory UDIMM - Matte Black (F5-6400J3239G16GA2-TZ5K),114.99,G.Skill,F5-6400J3239G16GA2-TZ5K,32 GB,2 x 16 GB,DDR5,6400 MHz,288-PIN,CL34,https://amazon.com/dp/B09QRT4S65?tag=pcbuilder00-20
Kingston Technology Fury Renegade RGB 32GB 2x16GB 6400MT/s DDR5 CL32 DIMM Desktop Memory,274.99,Kingston,Fury Renegade RGB,32 GB,2 x 16 GB,DDR5,6400 MHz,288-Pin,CL32,https://amazon.com/dp/B0B72BM63Q?tag=pcbuilder00-20
CORSAIR Dominator Titanium RGB DDR5 RAM 64GB (4x16GB) DDR5 6400MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMP64GX5M4B6400C32),364.99,Corsair,CMP64GX5M4B6400C32,64 GB,4 x 16 GB,DDR5,6400 MHz,288-PIN,CL32,https://amazon.com/dp/B0CHSHWPRK?tag=pcbuilder00-20
CORSAIR Dominator Titanium RGB DDR5 RAM 96GB (2x48GB) DDR5 6400MHz CL32 Intel XMP iCUE Compatible Computer Memory - Black (CMP96GX5M2B6400C32),449.99,Corsair,CMP96GX5M2B6400C32,16 GB,2 x 48 GB,DDR5,6400 MHz,288-PIN,CL32,https://amazon.com/dp/B0CHSGKCBL?tag=pcbuilder00-20
