Title,Price,Brand,Model,Capacity:,Type:,RPM,Interface,Cache Memory,Form Factor,Link
"Samsung 860 PRO 4TB SATA 6Gb/s, 2.5"" Internal Solid State Drive with V-NAND Technology & 4096MB Cache","1,099",Samsung,860 Pro,4TB,SSD,,SATA III 6 Gb/s,4096 MB,"2.5""",https://amazon.com/dp/B0786ZQ1PJ?tag=pcbuilder00-20
"Seagate BarraCuda 3TB SATA 6Gb/s, 3.5"" Internal Hard Drive with 7200 RPM & 64MB Cache",150,Seagate,BarraCuda,3 TB,HDD,7200 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B01IEKG4NE?tag=pcbuilder00-20
"PNY CS900 120GB 3D NAND SATA 6Gb/s, 2.5"" Internal Solid State Drive",15.89,PNY,CS900,120 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B0722XPTL6?tag=pcbuilder00-20
TEAMGROUP MS30 256GB SATA Rev 3.0 (6Gb/s) M.2-2280 Internal Solid State Drive,15.49,TEAMGROUP,MS30,256 GB,SSD,,SATA 6 Gb/s,,M.2-2280,https://amazon.com/dp/B07H23ZD94?tag=pcbuilder00-20
"TEAMGROUP T-Force Vulcan 500GB 2.5"" SATA III 3D NAND Internal Solid State Drive",/A,TEAMGROUP,T-Force Vulcan,500 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07QLMDXR3?tag=pcbuilder00-20
"Western Digital WD Blue 4TB SATA 6Gb/s, 3.5"" Internal Hard Drive with 5400 RPM & 64 MB Cache",104.99,Western Digital,Blue,4 TB,HDD,5400 RPM,SATA 6 Gb/s,64 MB,"3.5""",https://amazon.com/dp/B013HNYV8I?tag=pcbuilder00-20
"ADATA SU635 480GB 3D-NAND SATA 3 6Gb/s, 2.5"" Internal Solid State Drive",36.99,ADATA,SU635,480 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B07PGC3JKQ?tag=pcbuilder00-20
Intel 660P 2TB NVMe PCIe 3.0 x4 M.2-2280 Internal Solid State Drive,139.99,Intel,660p,2 TB,SSD,,PCIe 3.0 x4,,M.2-2280,https://amazon.com/dp/B07GCLLKDC?tag=pcbuilder00-20
"Crucial MX500 250GB 3D NAND SATA 2.5"" Internal Solid State Drive with 256MB Cache",40.21,Crucial,MX500,250 GB,SSD,,SATA III 6 Gb/s,256 MB,"2.5""",https://amazon.com/dp/B0781VSXBP?tag=pcbuilder00-20
"Western Digital WD Green 240GB SATA III 6Gb/s, 2.5"" Internal Solid State Drive",43.02,Western Digital,Green,240 GB,SSD,,SATA 6 Gb/s,,"2.5""",https://amazon.com/dp/B076Y374ZH?tag=pcbuilder00-20
